CSI_SITE_HANDLE,CSI_ADDRESS_ID,CSI_CORE_SITE_ID,CSI_CUST_HANDLE,CSI_ORDER_HANDLE,CSI_SERVICEHANDLE,CSI_USID,CSI_SERVICEELEMENTCLASS,GOLD_SITE_CODE,GOLD_ADDRESS_ID,GOLD_CORE_SITE_ID,GOLD_STATUS,GOLD_ICO,IS_AVAILABLE_AFTER_ADD_WHITESPACE
BOSTON,CI00055309,CI00054950,3913,53707,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,BOSTON,CI00055309,CI00054950,0,683309,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Bank Budapest MCS 1,,,1668,48948,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Bank Budapest MCS 1,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Bank Singapore MCS 1,,,1668,55372,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Bank Singapore MCS 1,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Bank Taipei MCS1,,,1668,48600,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Bank Taipei MCS1,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
Zona Libre,,,39970,52606,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Zona Libre,,,0,39970,CSI_SITEHANDLE_FOUND_IN_GOLD
Edo de mexico,,,40208,52602,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Edo de mexico,,,0,40208,CSI_SITEHANDLE_FOUND_IN_GOLD
VE-MLE-BancoCanariasdeVenezuela-001,,,41874,23315,IP_VPN,NOT REQUIRED,NOT REQUIRED,VE-MLE-BancoCanariasdeVenezuela-001,,,0,41874,CSI_SITEHANDLE_FOUND_IN_GOLD
Singapore_039027,CI00023738,CI00023641,44058,54950,IP_VPN,NOT REQUIRED,NOT REQUIRED,Singapore_039027,CI00023738,CI00023641,0,44058,CSI_SITEHANDLE_FOUND_IN_GOLD
Q8 Deventer,,,28537,61614,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Q8 Deventer,,,0,28537,CSI_SITEHANDLE_FOUND_IN_GOLD
DE-WR-NationalBank-01,MAG5213963,MSG5214242,43064,46619,IP_VPN,NOT REQUIRED,NOT REQUIRED,DE-WR-NationalBank-01,MAG5213963,MSG5214242,0,43064,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0288 - BIHOREL,,,40178,64486,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0288 - BIHOREL,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0272 - DOMBASLE SUR MEURTHE,,,40178,64397,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0272 - DOMBASLE SUR MEURTHE,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
HERMES ANVERS,,,35672,56861,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,HERMES ANVERS,,,0,35672,CSI_SITEHANDLE_FOUND_IN_GOLD
Covadis,,,25065,61615,IP_VPN,NOT REQUIRED,NOT REQUIRED,Covadis,,,0,25065,CSI_SITEHANDLE_FOUND_IN_GOLD
DupontBrasil2,,,35033,69721,IP_VPN,NOT REQUIRED,NOT REQUIRED,DupontBrasil2,,,0,35033,CSI_SITEHANDLE_FOUND_IN_GOLD
HKGB9730-1,,,9730,59590,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,HKGB9730-1,,,0,9730,CSI_SITEHANDLE_FOUND_IN_GOLD
FS HK001,MAG4316261,MSG4316519,39346,65290,IP_VPN,NOT REQUIRED,NOT REQUIRED,FS HK001,MAG4316261,MSG4316519,0,39346,CSI_SITEHANDLE_FOUND_IN_GOLD
9186 Malaysia,,,9186,57732,IP_VPN,NOT REQUIRED,NOT REQUIRED,9186 Malaysia,,,0,9186,CSI_SITEHANDLE_FOUND_IN_GOLD
Taipei 01,,,10115,65717,IP_VPN,NOT REQUIRED,NOT REQUIRED,Taipei 01,,,0,10115,CSI_SITEHANDLE_FOUND_IN_GOLD
Rotterdam Nui's,,,1668,29121,X_25,NOT REQUIRED,NOT REQUIRED,Rotterdam Nui's,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
All sites,,,1668,62665,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,All sites,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
HQ,CI00016732,CI00016651,10147,67654,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,HQ,CI00016732,CI00016651,0,9594,CSI_SITEHANDLE_FOUND_IN_GOLD
EG-047-X,,,2646,59897,X_25,NOT REQUIRED,NOT REQUIRED,EG-047-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
95 Christopher Columbus Dr.,,,42573,49986,IP_VPN,NOT REQUIRED,NOT REQUIRED,95 Christopher Columbus Dr.,,,0,42573,CSI_SITEHANDLE_FOUND_IN_GOLD
QQLB5108-2,,,5108,58942,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,QQLB5108-2,,,0,5108,CSI_SITEHANDLE_FOUND_IN_GOLD
RENNES PGD828,,,42429,60666,IP_VPN,NOT REQUIRED,NOT REQUIRED,RENNES PGD828,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
HK-AC-HKEX-001,MAG5209702,MSG5209895,44042,54015,IP_VPN,NOT REQUIRED,NOT REQUIRED,HK-AC-HKEX-001,MAG5209702,MSG5209895,0,44042,CSI_SITEHANDLE_FOUND_IN_GOLD
NG-GC-UBAPLC-01,,,43150,48570,IP_VPN,NOT REQUIRED,NOT REQUIRED,NG-GC-UBAPLC-01,,,0,43150,CSI_SITEHANDLE_FOUND_IN_GOLD
US-LehmanBros-001b,,,44877,59120,IP_VPN,NOT REQUIRED,NOT REQUIRED,US-LehmanBros-001b,,,0,44877,CSI_SITEHANDLE_FOUND_IN_GOLD
FR-FW-BDF-02,,,43191,50343,IP_VPN,NOT REQUIRED,NOT REQUIRED,FR-FW-BDF-02,,,0,43191,CSI_SITEHANDLE_FOUND_IN_GOLD
Singapore_039026,CI00023737,CI00023640,44058,54577,IP_VPN,NOT REQUIRED,NOT REQUIRED,Singapore_039026,CI00023737,CI00023640,0,44058,CSI_SITEHANDLE_FOUND_IN_GOLD
Maple Cross,,,25065,45739,IP_VPN,NOT REQUIRED,NOT REQUIRED,Maple Cross,,,2,25065,CSI_SITEHANDLE_FOUND_IN_GOLD
LUNB2663-2,,,2663,59223,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,LUNB2663-2,,,0,7152,CSI_SITEHANDLE_FOUND_IN_GOLD
Paisley (U),,,41310,65780,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Paisley (U),,,0,41310,CSI_SITEHANDLE_FOUND_IN_GOLD
11406 KR Ichon SI 1,,,11406,62301,IP_VPN,NOT REQUIRED,NOT REQUIRED,11406 KR Ichon SI 1,,,0,11406,CSI_SITEHANDLE_FOUND_IN_GOLD
DUBB2273-4,,,2273,69580,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,DUBB2273-4,,,0,2273,CSI_SITEHANDLE_FOUND_IN_GOLD
SG BHFM CAIRO,MAG4214840,MSG4215052,35685,61881,IP_VPN,NOT REQUIRED,NOT REQUIRED,SG BHFM CAIRO,MAG4214840,MSG4215052,0,35685,CSI_SITEHANDLE_FOUND_IN_GOLD
NG-GC-GlobalBank-02,,,42917,45408,IP_VPN,NOT REQUIRED,NOT REQUIRED,NG-GC-GlobalBank-02,,,0,42917,CSI_SITEHANDLE_FOUND_IN_GOLD
TOONTO - FR Trial,,,44937,60970,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,TOONTO - FR Trial,,,0,44937,CSI_SITEHANDLE_FOUND_IN_GOLD
ACN Madrid,,,41499,56000,IP_VPN,NOT REQUIRED,NOT REQUIRED,ACN Madrid,,,0,41499,CSI_SITEHANDLE_FOUND_IN_GOLD
BR-013-X,,,2646,59376,X_25,NOT REQUIRED,NOT REQUIRED,BR-013-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
ANRB1799-1,,,1799,62916,IP_VPN,NOT REQUIRED,NOT REQUIRED,ANRB1799-1,,,0,1799,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0169 - BELLEGARDE ARENES,,,40178,61153,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0169 - BELLEGARDE ARENES,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
"Ft Lauderdale,Rolls-Royce",,,39449,55687,IP_VPN,NOT REQUIRED,NOT REQUIRED,"Ft Lauderdale,Rolls-Royce",,,0,39449,CSI_SITEHANDLE_FOUND_IN_GOLD
Granit House,,,18073,53809,IP_VPN,NOT REQUIRED,NOT REQUIRED,Granit House,,,0,18073,CSI_SITEHANDLE_FOUND_IN_GOLD
Dayton,,,10944,62654,IP_VPN,NOT REQUIRED,NOT REQUIRED,Dayton,,,0,10944,CSI_SITEHANDLE_FOUND_IN_GOLD
BHPB-308,,,4655,67602,IP_VPN,NOT REQUIRED,NOT REQUIRED,BHPB-308,,,0,4655,CSI_SITEHANDLE_FOUND_IN_GOLD
048 - 00690 - DPL,,,40569,65325,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,048 - 00690 - DPL,,,0,40569,CSI_SITEHANDLE_FOUND_IN_GOLD
Westbury,,,7995,58738,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Westbury,,,0,7995,CSI_SITEHANDLE_FOUND_IN_GOLD
"Banco Bancrecen, S.A.",,,23035,63973,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,"Banco Bancrecen, S.A.",,,0,23035,CSI_SITEHANDLE_FOUND_IN_GOLD
"Douala (PWC ,Cameroo)",,,7240,43399,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,"Douala (PWC ,Cameroo)",,,0,7240,CSI_SITEHANDLE_FOUND_IN_GOLD
PKUL110,,,5309,53766,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,PKUL110,,,0,5309,CSI_SITEHANDLE_FOUND_IN_GOLD
KULB3822-1,,,3822,63808,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,KULB3822-1,,,0,3822,CSI_SITEHANDLE_FOUND_IN_GOLD
Chennai 2,,,1799,56060,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Chennai 2,,,0,1799,CSI_SITEHANDLE_FOUND_IN_GOLD
CY-DB-UB-01,,,43928,52977,IP_VPN,NOT REQUIRED,NOT REQUIRED,CY-DB-UB-01,,,0,43928,CSI_SITEHANDLE_FOUND_IN_GOLD
GLOBAL,,,26246,66436,CSP_PURPLE,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
17201,,,4025,59485,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,17201,,,0,4025,CSI_SITEHANDLE_FOUND_IN_GOLD
EG-011-X,,,2646,59903,X_25,NOT REQUIRED,NOT REQUIRED,EG-011-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
HRE42334-1,MAG4424444,MSG4424951,42334,54448,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,HRE42334-1,MAG4424444,MSG4424951,0,42334,CSI_SITEHANDLE_FOUND_IN_GOLD
"Rauma,Rolls-Royce",,,39449,55554,IP_VPN,NOT REQUIRED,NOT REQUIRED,"Rauma,Rolls-Royce",,,0,39449,CSI_SITEHANDLE_FOUND_IN_GOLD
VLCB7639-2,,,7639,59420,INTERNET_DIRECT_PURPLE,NOT REQUIRED,NOT REQUIRED,VLCB7639-2,,,0,7639,CSI_SITEHANDLE_FOUND_IN_GOLD
CPAR40,,,7863,64559,ATM,NOT REQUIRED,NOT REQUIRED,CPAR40,,,0,7863,CSI_SITEHANDLE_FOUND_IN_GOLD
YFCB1901-2,,,1901,54550,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,YFCB1901-2,,,0,1901,CSI_SITEHANDLE_FOUND_IN_GOLD
KW-ML-BB-01,,,44249,55440,IP_VPN,NOT REQUIRED,NOT REQUIRED,KW-ML-BB-01,,,0,44249,CSI_SITEHANDLE_FOUND_IN_GOLD
GER-Ratingen,,,10147,62264,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,GER-Ratingen,,,0,10147,CSI_SITEHANDLE_FOUND_IN_GOLD
7724-Linz,,,7724,46149,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,7724-Linz,,,0,7724,CSI_SITEHANDLE_FOUND_IN_GOLD
Navy Yard/Washington DC,,,10944,63099,IP_VPN,NOT REQUIRED,NOT REQUIRED,Navy Yard/Washington DC,,,0,10944,CSI_SITEHANDLE_FOUND_IN_GOLD
Overland Park ATM,,,5013,29424,ATM,NOT REQUIRED,NOT REQUIRED,Overland Park ATM,,,0,5013,CSI_SITEHANDLE_FOUND_IN_GOLD
EG-042-X,,,2646,60053,X_25,NOT REQUIRED,NOT REQUIRED,EG-042-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
CIS0010325,MAG5318871,MSG5319271,36825,58934,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,CIS0010325,MAG5318871,MSG5319271,0,36825,CSI_SITEHANDLE_FOUND_IN_GOLD
Eritrea - Asmara (ASM),,,36572,54733,IP_VPN,NOT REQUIRED,NOT REQUIRED,Eritrea - Asmara (ASM),,,0,36572,CSI_SITEHANDLE_FOUND_IN_GOLD
Not relevant,,,3779,52913,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Not relevant,,,0,3779,CSI_SITEHANDLE_FOUND_IN_GOLD
FR-FW-CLCB-01,,,41699,32892,IP_VPN,NOT REQUIRED,NOT REQUIRED,FR-FW-CLCB-01,,,0,41699,CSI_SITEHANDLE_FOUND_IN_GOLD
ISBB1121-3,,,1121,59248,X_25,NOT REQUIRED,NOT REQUIRED,ISBB1121-3,,,0,1121,CSI_SITEHANDLE_FOUND_IN_GOLD
7724-Madrid Cosim,,,7724,46125,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,7724-Madrid Cosim,,,0,7724,CSI_SITEHANDLE_FOUND_IN_GOLD
EG-049-X,,,2646,59615,X_25,NOT REQUIRED,NOT REQUIRED,EG-049-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
9813 - Marikina City,,,9813,55822,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,9813 - Marikina City,,,0,9813,CSI_SITEHANDLE_FOUND_IN_GOLD
UK-PL-SBI-01,,,44040,54277,IP_VPN,NOT REQUIRED,NOT REQUIRED,UK-PL-SBI-01,,,0,44040,CSI_SITEHANDLE_FOUND_IN_GOLD
IBM-SELDOKE,,,42802,62200,IP_VPN,NOT REQUIRED,NOT REQUIRED,IBM-SELDOKE,,,0,42802,CSI_SITEHANDLE_FOUND_IN_GOLD
EUR/UK/WEMB01,,,15330,59832,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,EUR/UK/WEMB01,,,0,15330,CSI_SITEHANDLE_FOUND_IN_GOLD
MC-001-X,,,2646,59795,X_25,NOT REQUIRED,NOT REQUIRED,MC-001-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
Rotterdam Willemswerf,,,1799,65589,IP_VPN,NOT REQUIRED,NOT REQUIRED,Rotterdam Willemswerf,,,0,1799,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0065 - BRASSAC,,,40178,56714,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0065 - BRASSAC,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
SANB4207-1,,,4207,63833,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,SANB4207-1,,,0,4207,CSI_SITEHANDLE_FOUND_IN_GOLD
Dupont-Cama??ari,,,35033,71452,IP_VPN,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
CO-029-X,,,2646,59433,X_25,NOT REQUIRED,NOT REQUIRED,CO-029-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
Lisbon(L),,,8106,62411,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Lisbon(L),,,0,8106,CSI_SITEHANDLE_FOUND_IN_GOLD
Italy - Milan (MIL),,,36572,62699,IP_VPN,NOT REQUIRED,NOT REQUIRED,Italy - Milan (MIL),,,0,36572,CSI_SITEHANDLE_FOUND_IN_GOLD
NEUTRAUBLING_014633,MAG5211310,MSG5211537,6287,77632,IP_VPN,NOT REQUIRED,NOT REQUIRED,NEUTRAUBLING_014633,MAG5211310,MSG5211537,0,6287,CSI_SITEHANDLE_FOUND_IN_GOLD
US-Secaucus,,,25355,60783,IP_VPN,NOT REQUIRED,NOT REQUIRED,US-Secaucus,,,0,25355,CSI_SITEHANDLE_FOUND_IN_GOLD
IT-Milano,,,35832,63893,IP_VPN,NOT REQUIRED,NOT REQUIRED,IT-Milano,,,0,35832,CSI_SITEHANDLE_FOUND_IN_GOLD
EG-026-X,,,2646,60540,X_25,NOT REQUIRED,NOT REQUIRED,EG-026-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
Friedrichsdorf,,,5710,59329,IP_VPN,NOT REQUIRED,NOT REQUIRED,Friedrichsdorf,,,0,5710,CSI_SITEHANDLE_FOUND_IN_GOLD
5603- MCS N??rnberg,,,5693,65864,IP_VPN,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
Chile FR,MAG5208345,MSG5208509,3822,63496,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Chile FR,MAG5208345,MSG5208509,0,3822,CSI_SITEHANDLE_FOUND_IN_GOLD
MEXB7788-2,,,7788,56777,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,MEXB7788-2,,,0,7788,CSI_SITEHANDLE_FOUND_IN_GOLD
GDLB7788-1,,,7788,56762,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,GDLB7788-1,,,0,7788,CSI_SITEHANDLE_FOUND_IN_GOLD
IBM-KIXFFKE,MAG5322529,MSG5323088,42802,56227,IP_VPN,NOT REQUIRED,NOT REQUIRED,IBM-KIXFFKE,MAG5322529,MSG5323088,0,42802,CSI_SITEHANDLE_FOUND_IN_GOLD
PHXB10201-1,,,10201,53496,IP_VPN,NOT REQUIRED,NOT REQUIRED,PHXB10201-1,,,0,10201,CSI_SITEHANDLE_FOUND_IN_GOLD
BWUB2634-1,,,2634,63645,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,BWUB2634-1,,,0,2634,CSI_SITEHANDLE_FOUND_IN_GOLD
3824-FR-Limoges,,,3824,58667,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,3824-FR-Limoges,,,0,3824,CSI_SITEHANDLE_FOUND_IN_GOLD
GLOBAL,,,36494,61322,CSP_PURPLE,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
GLOBAL,,,38813,65971,CSP_PURPLE,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
JP-Osaka,,,35832,63895,IP_VPN,NOT REQUIRED,NOT REQUIRED,JP-Osaka,,,0,35832,CSI_SITEHANDLE_FOUND_IN_GOLD
US-New York,,,35832,64311,IP_VPN,NOT REQUIRED,NOT REQUIRED,US-New York,,,0,35832,CSI_SITEHANDLE_FOUND_IN_GOLD
B.O-Sydney,MAG4207622,MSG4207770,35832,63739,IP_VPN,NOT REQUIRED,NOT REQUIRED,B.O-Sydney,MAG4207622,MSG4207770,0,35832,CSI_SITEHANDLE_FOUND_IN_GOLD
ACC,MA16000993,MS16000949,4142,48885,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,ACC,MA16000993,MS16000949,0,670502,CSI_SITEHANDLE_FOUND_IN_GOLD
Chile - Site No 10,,,9188,67367,IP_VPN,NOT REQUIRED,NOT REQUIRED,Chile - Site No 10,,,0,9188,CSI_SITEHANDLE_FOUND_IN_GOLD
JKTB4616-2,,,4616,74416,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,JKTB4616-2,,,0,4616,CSI_SITEHANDLE_FOUND_IN_GOLD
Yazaki/Hangzhou,,,9812,63342,IP_VPN,NOT REQUIRED,NOT REQUIRED,Yazaki/Hangzhou,,,0,9812,CSI_SITEHANDLE_FOUND_IN_GOLD
Kiev (IEV1ER-1),,,41335,63712,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Kiev (IEV1ER-1),,,0,41335,CSI_SITEHANDLE_FOUND_IN_GOLD
MELB1940-2,,,1940,67650,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,MELB1940-2,,,0,1940,CSI_SITEHANDLE_FOUND_IN_GOLD
BCNB1121-4,,,1121,60735,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,BCNB1121-4,,,0,1121,CSI_SITEHANDLE_FOUND_IN_GOLD
BR-004,,,7649,42272,IP_VPN,NOT REQUIRED,NOT REQUIRED,BR-004,,,0,7649,CSI_SITEHANDLE_FOUND_IN_GOLD
Helsinki..,,,23790,51643,IP_VPN,NOT REQUIRED,NOT REQUIRED,Helsinki..,,,0,23790,CSI_SITEHANDLE_FOUND_IN_GOLD
ORKB3939-1,,,3939,66543,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,ORKB3939-1,,,0,3939,CSI_SITEHANDLE_FOUND_IN_GOLD
Australian Stock Exchange,,,2198,59406,PPP_DIAL,NOT REQUIRED,NOT REQUIRED,Australian Stock Exchange,,,0,2198,CSI_SITEHANDLE_FOUND_IN_GOLD
Singapore TF,,,2198,59001,PPP_DIAL,NOT REQUIRED,NOT REQUIRED,Singapore TF,,,0,2198,CSI_SITEHANDLE_FOUND_IN_GOLD
Ypres Yplon / BRUB4201-2,,,4201,55196,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Ypres Yplon / BRUB4201-2,,,0,4201,CSI_SITEHANDLE_FOUND_IN_GOLD
11406 ID Bogor 1,,,11406,62165,IP_VPN,NOT REQUIRED,NOT REQUIRED,11406 ID Bogor 1,,,0,11406,CSI_SITEHANDLE_FOUND_IN_GOLD
11406 ID Pusat / Jakarta 1,,,11406,62167,IP_VPN,NOT REQUIRED,NOT REQUIRED,11406 ID Pusat / Jakarta 1,,,0,11406,CSI_SITEHANDLE_FOUND_IN_GOLD
671SK,,,40170,67181,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,671SK,,,0,40170,CSI_SITEHANDLE_FOUND_IN_GOLD
Kista Hard Mig.,,,30969,63076,IP_VPN,NOT REQUIRED,NOT REQUIRED,Kista Hard Mig.,,,0,30969,CSI_SITEHANDLE_FOUND_IN_GOLD
KND Cargo City S??d,,,41145,64373,IP_VPN,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
BBK,,,1908,59064,IP_VPN,NOT REQUIRED,NOT REQUIRED,BBK,,,0,1908,CSI_SITEHANDLE_FOUND_IN_GOLD
IBM-OKJSMKE,MA12006837,MS12006509,42802,50477,IP_VPN,NOT REQUIRED,NOT REQUIRED,IBM-OKJSMKE,MA12006837,MS12006509,0,42802,CSI_SITEHANDLE_FOUND_IN_GOLD
RITD - ASIA PTE,,,5892,61815,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,RITD - ASIA PTE,,,0,5892,CSI_SITEHANDLE_FOUND_IN_GOLD
LLAB2586-1,,,2586,60282,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,LLAB2586-1,,,0,2586,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0347 - VALDAHON,,,40178,67873,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0347 - VALDAHON,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0349 - SABLES D OLONNES CASTELNAU,,,40178,67877,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0349 - SABLES D OLONNES CASTELNAU,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
KND Duisburg Logport,,,41145,64478,IP_VPN,NOT REQUIRED,NOT REQUIRED,KND Duisburg Logport,,,0,9319,CSI_SITEHANDLE_FOUND_IN_GOLD
SANTA CRUZ REPSOL,,,40430,54320,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,SANTA CRUZ REPSOL,,,0,40430,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Bank Bergen,,,1668,55697,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Bank Bergen,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
TECHNIP..,,,2870,64689,IP_VPN,NOT REQUIRED,NOT REQUIRED,TECHNIP..,,,0,2870,CSI_SITEHANDLE_FOUND_IN_GOLD
Suresnes new location,,,3913,61681,IP_VPN,NOT REQUIRED,NOT REQUIRED,Suresnes new location,,,0,3913,CSI_SITEHANDLE_FOUND_IN_GOLD
PARB9691-1,,,1508,62465,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,PARB9691-1,,,0,1508,CSI_SITEHANDLE_FOUND_IN_GOLD
YHZB2669-1,,,2669,54811,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,YHZB2669-1,,,0,2669,CSI_SITEHANDLE_FOUND_IN_GOLD
Clayton - 28332,,,28332,58960,IP_VPN,NOT REQUIRED,NOT REQUIRED,Clayton - 28332,,,0,28332,CSI_SITEHANDLE_FOUND_IN_GOLD
TH-020-X,,,2646,59812,X_25,NOT REQUIRED,NOT REQUIRED,TH-020-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
IBM-KIJSMKE,MAG5322528,MSG5323087,42802,50464,IP_VPN,NOT REQUIRED,NOT REQUIRED,IBM-KIJSMKE,MAG5322528,MSG5323087,0,42802,CSI_SITEHANDLE_FOUND_IN_GOLD
Audatex Vienna,,,36494,67444,IP_VPN,NOT REQUIRED,NOT REQUIRED,Audatex Vienna,,,0,36494,CSI_SITEHANDLE_FOUND_IN_GOLD
Nanterre New,,,43247,52681,IP_VPN,NOT REQUIRED,NOT REQUIRED,Nanterre New,,,0,43247,CSI_SITEHANDLE_FOUND_IN_GOLD
11406 DE Esslingen-Mettingen,MA16002153,MS16002063,11406,61124,IP_VPN,NOT REQUIRED,NOT REQUIRED,11406 DE Esslingen-Mettingen,MA16002153,MS16002063,0,11406,CSI_SITEHANDLE_FOUND_IN_GOLD
TIS_UNPIU_ES01,,,44989,62472,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,TIS_UNPIU_ES01,,,0,44989,CSI_SITEHANDLE_FOUND_IN_GOLD
CPHB9325-1,,,9325,68443,IP_VPN,NOT REQUIRED,NOT REQUIRED,CPHB9325-1,,,0,9325,CSI_SITEHANDLE_FOUND_IN_GOLD
9252-Trento,,,9252,45953,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,9252-Trento,,,0,9252,CSI_SITEHANDLE_FOUND_IN_GOLD
CO-CQ-Bancolombia-01,,,43455,51483,IP_VPN,NOT REQUIRED,NOT REQUIRED,CO-CQ-Bancolombia-01,,,0,43455,CSI_SITEHANDLE_FOUND_IN_GOLD
