CSI_SITE_HANDLE,CSI_ADDRESS_ID,CSI_CORE_SITE_ID,CSI_CUST_HANDLE,CSI_ORDER_HANDLE,CSI_SERVICEHANDLE,CSI_USID,CSI_SERVICEELEMENTCLASS,GOLD_SITE_CODE,GOLD_ADDRESS_ID,GOLD_CORE_SITE_ID,GOLD_STATUS,GOLD_ICO,IS_AVAILABLE_AFTER_ADD_WHITESPACE
MKZB7995-1,MAG5316669,MSG5317015,7995,58737,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,MKZB7995-1,MAG5316669,MSG5317015,0,7995,CSI_SITEHANDLE_FOUND_IN_GOLD
Roche - Bomma,,,27707,47991,IP_VPN,NOT REQUIRED,NOT REQUIRED,Roche - Bomma,,,0,27707,CSI_SITEHANDLE_FOUND_IN_GOLD
KN Ferdinandstr.,,,9319,52625,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,KN Ferdinandstr.,,,0,9319,CSI_SITEHANDLE_FOUND_IN_GOLD
LOSB1508-4,,,1508,46503,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,LOSB1508-4,,,0,1508,CSI_SITEHANDLE_FOUND_IN_GOLD
HKG-Megatop,,,25355,58972,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,HKG-Megatop,,,0,25355,CSI_SITEHANDLE_FOUND_IN_GOLD
DG Bank AG,,,6265,53779,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,DG Bank AG,,,0,6265,CSI_SITEHANDLE_FOUND_IN_GOLD
17,,,35576,59865,IP_VPN,NOT REQUIRED,NOT REQUIRED,17,,,0,35576,CSI_SITEHANDLE_FOUND_IN_GOLD
Rotterdam Nui's,,,1668,46567,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,Rotterdam Nui's,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
36421-DE-LMI,MA10003638,MS10003565,36421,50583,IP_VPN,NOT REQUIRED,NOT REQUIRED,36421-DE-LMI,MA10003638,MS10003565,0,36421,CSI_SITEHANDLE_FOUND_IN_GOLD
TUIT,MAG4100903,MSG4100912,23542,49112,IP_VPN,NOT REQUIRED,NOT REQUIRED,TUIT,MAG4100903,MSG4100912,0,23542,CSI_SITEHANDLE_FOUND_IN_GOLD
Sydney KPMG,MA18001545,MS18001498,10246,42404,IP_VPN,NOT REQUIRED,NOT REQUIRED,Sydney KPMG,MA18001545,MS18001498,0,10246,CSI_SITEHANDLE_FOUND_IN_GOLD
RAMONVILLE TDE314,,,42429,48215,IP_VPN,NOT REQUIRED,NOT REQUIRED,RAMONVILLE TDE314,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
GWN-Regensburg-Tele,,,7937,51761,X_25,NOT REQUIRED,NOT REQUIRED,GWN-Regensburg-Tele,,,0,7937,CSI_SITEHANDLE_FOUND_IN_GOLD
HKG-ZTE,,,35818,40975,IP_VPN,NOT REQUIRED,NOT REQUIRED,HKG-ZTE,,,0,35818,CSI_SITEHANDLE_FOUND_IN_GOLD
Royal Trust,,,7848,48064,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Royal Trust,,,0,7848,CSI_SITEHANDLE_FOUND_IN_GOLD
ZFS Morocco,MAG5101593,MSG5101610,3739,47506,IP_VPN,NOT REQUIRED,NOT REQUIRED,ZFS Morocco,MAG5101593,MSG5101610,0,3739,CSI_SITEHANDLE_FOUND_IN_GOLD
JP234 Kumamoto,,,28358,44610,IP_VPN,NOT REQUIRED,NOT REQUIRED,JP234 Kumamoto,,,0,28358,CSI_SITEHANDLE_FOUND_IN_GOLD
SAF,MA18003172,MS18003076,9396,35435,IP_VPN,NOT REQUIRED,NOT REQUIRED,SAF,MA18003172,MS18003076,1,9396,CSI_SITEHANDLE_FOUND_IN_GOLD
DE - Schw??bisch Gm??nd,,,9577,55477,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
Hainan-CAN,,,42543,42690,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Hainan-CAN,,,0,42543,CSI_SITEHANDLE_FOUND_IN_GOLD
BAT Hamburg Horn DC,,,1859,58537,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,BAT Hamburg Horn DC,,,0,1859,CSI_SITEHANDLE_FOUND_IN_GOLD
ZFS Morocco,MAG5101593,MSG5101610,3739,57975,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,ZFS Morocco,MAG5101593,MSG5101610,0,3739,CSI_SITEHANDLE_FOUND_IN_GOLD
HR,,,10964,50190,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,HR,,,0,10964,CSI_SITEHANDLE_FOUND_IN_GOLD
Manchester.,,,36580,42287,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Manchester.,,,0,36580,CSI_SITEHANDLE_FOUND_IN_GOLD
Saint Louis.,,,33088,44755,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Saint Louis.,,,0,33088,CSI_SITEHANDLE_FOUND_IN_GOLD
LIMOGES TDE323,,,42429,48181,IP_VPN,NOT REQUIRED,NOT REQUIRED,LIMOGES TDE323,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
MCBO,,,41735,47078,INTERNET_DIRECT_PURPLE,NOT REQUIRED,NOT REQUIRED,MCBO,,,0,41735,CSI_SITEHANDLE_FOUND_IN_GOLD
Guangzhou 6601020,,,3963,41936,IP_VPN,NOT REQUIRED,NOT REQUIRED,Guangzhou 6601020,,,0,3963,CSI_SITEHANDLE_FOUND_IN_GOLD
Amsterdam (SS),,,7857,45568,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Amsterdam (SS),,,0,7857,CSI_SITEHANDLE_FOUND_IN_GOLD
ALM,,,4142,56281,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,ALM,,,0,4142,CSI_SITEHANDLE_FOUND_IN_GOLD
MDS - Tampa,,,10177,52700,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,MDS - Tampa,,,0,10177,CSI_SITEHANDLE_FOUND_IN_GOLD
ID-044-X,,,2646,72921,X_25,NOT REQUIRED,NOT REQUIRED,ID-044-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
YUM Dallas Hub,,,43247,51823,IP_VPN,NOT REQUIRED,NOT REQUIRED,YUM Dallas Hub,,,0,43247,CSI_SITEHANDLE_FOUND_IN_GOLD
CLSA-TYO,,,23513,53905,ATM_PURPLE,NOT REQUIRED,NOT REQUIRED,CLSA-TYO,,,0,23513,CSI_SITEHANDLE_FOUND_IN_GOLD
AU - Parramatta,,,39975,72525,IP_VPN,NOT REQUIRED,NOT REQUIRED,AU - Parramatta,,,0,39975,CSI_SITEHANDLE_FOUND_IN_GOLD
HPL-HKG Somerset House,,,9803,58990,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,HPL-HKG Somerset House,,,0,9803,CSI_SITEHANDLE_FOUND_IN_GOLD
AEAUH01,CI00059725,MSY5133181,10524,55276,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,AEAUH01,CI00059725,MSY5133181,0,10524,CSI_SITEHANDLE_FOUND_IN_GOLD
MEXB7639-2,,,7639,44927,INTERNET_DIRECT_PURPLE,NOT REQUIRED,NOT REQUIRED,MEXB7639-2,,,0,7639,CSI_SITEHANDLE_FOUND_IN_GOLD
GWN-Frankfurt-Tele,,,7937,51773,X_25,NOT REQUIRED,NOT REQUIRED,GWN-Frankfurt-Tele,,,0,7937,CSI_SITEHANDLE_FOUND_IN_GOLD
FS SUZHOU001,MAG4316263,MSG4316521,39346,46239,IP_VPN,NOT REQUIRED,NOT REQUIRED,FS SUZHOU001,MAG4316263,MSG4316521,0,39346,CSI_SITEHANDLE_FOUND_IN_GOLD
Espoo (GST),MA10000345,MS10000329,9594,47627,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Espoo (GST),MA10000345,MS10000329,0,9594,CSI_SITEHANDLE_FOUND_IN_GOLD
MAAB9493-3,,,9493,58575,IP_VPN,NOT REQUIRED,NOT REQUIRED,MAAB9493-3,,,0,9493,CSI_SITEHANDLE_FOUND_IN_GOLD
FRCHF0331 - LANNEMEZAN,,,40178,66317,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRCHF0331 - LANNEMEZAN,,,0,40178,CSI_SITEHANDLE_FOUND_IN_GOLD
London (S),,,4245,42926,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,London (S),,,0,4245,CSI_SITEHANDLE_FOUND_IN_GOLD
NYCB1121-8,,,1121,67923,X_25,NOT REQUIRED,NOT REQUIRED,NYCB1121-8,,,0,1121,CSI_SITEHANDLE_FOUND_IN_GOLD
LONB4024-2,,,4024,49676,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,LONB4024-2,,,0,4024,CSI_SITEHANDLE_FOUND_IN_GOLD
Philips UK,,,7649,36312,ATM_PURPLE,NOT REQUIRED,NOT REQUIRED,Philips UK,,,0,7649,CSI_SITEHANDLE_FOUND_IN_GOLD
AYTA01,,,35503,46447,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,AYTA01,,,0,35503,CSI_SITEHANDLE_FOUND_IN_GOLD
2415/Denmark/Runstedt,,,2415,47585,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,2415/Denmark/Runstedt,,,0,2415,CSI_SITEHANDLE_FOUND_IN_GOLD
MEX04,,,6253,50923,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,MEX04,,,0,6253,CSI_SITEHANDLE_FOUND_IN_GOLD
Saint AVertin - TUFB7862-1,,,7862,56746,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Saint AVertin - TUFB7862-1,,,0,7862,CSI_SITEHANDLE_FOUND_IN_GOLD
AMSB6075-1,,,6075,65093,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,AMSB6075-1,,,0,6075,CSI_SITEHANDLE_FOUND_IN_GOLD
SGIB FRANCE1,,,35685,59537,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,SGIB FRANCE1,,,0,35685,CSI_SITEHANDLE_FOUND_IN_GOLD
DURB10077-1,,,10077,38031,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,DURB10077-1,,,0,10077,CSI_SITEHANDLE_FOUND_IN_GOLD
FS SHA001,,,39346,42297,IP_VPN,NOT REQUIRED,NOT REQUIRED,FS SHA001,,,0,39346,CSI_SITEHANDLE_FOUND_IN_GOLD
PH-028-X,,,2646,59936,X_25,NOT REQUIRED,NOT REQUIRED,PH-028-X,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
TH-CC-BB-01,,,43051,45985,IP_VPN,NOT REQUIRED,NOT REQUIRED,TH-CC-BB-01,,,0,43051,CSI_SITEHANDLE_FOUND_IN_GOLD
Alsen AG,,,23012,46106,IP_VPN,NOT REQUIRED,NOT REQUIRED,Alsen AG,,,0,23012,CSI_SITEHANDLE_FOUND_IN_GOLD
MY-JM-MBB-02,,,41804,35147,IP_VPN,NOT REQUIRED,NOT REQUIRED,MY-JM-MBB-02,,,0,41804,CSI_SITEHANDLE_FOUND_IN_GOLD
ID-SB-BankArthaGraha-01,MAG5214014,MSG5214293,42136,38230,IP_VPN,NOT REQUIRED,NOT REQUIRED,ID-SB-BankArthaGraha-01,MAG5214014,MSG5214293,0,42136,CSI_SITEHANDLE_FOUND_IN_GOLD
Yplon Rosporden,,,4201,55239,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Yplon Rosporden,,,0,4201,CSI_SITEHANDLE_FOUND_IN_GOLD
