ORANGE_SITENAME,ADDRESS_ID,CORE_SITE_ID,SITECODE,UPDATED_SITECODE,UPDATED_ORANGE_SITENAME
K&N-JHB,,,K&N-JHB,KN-JHB_SC,KN-JHB_SC
K&N-KUL,,,K&N-KUL,KN-KUL_SC,KN-KUL_SC
Miami M & M Aero,MAG5314212,MSG5314492,Miami M & M Aero,Miami M  M Aero_SC,Miami M & M Aero
K&N SIN (Airport),,,K&N SIN (Airport),KN SIN (Airport)_SC,KN SIN (Airport)_SC
K&N HKG FA,,,K&N HKG FA,KN HKG FA_SC,KN HKG FA_SC
K&N SUB,CI00043858,CI00043603,K&N SUB,KN SUB_SC,K&N SUB
K&N-HKG-DRC,,,K&N-HKG-DRC,KN-HKG-DRC_SC,KN-HKG-DRC_SC
D&B 14172 Copenhagen,,,D&B 14172 Copenhagen,DB 14172 Copenhagen_SC,DB 14172 Copenhagen_SC
D&B 6393 Stockholm,,,D&B 6393 Stockholm,DB 6393 Stockholm_SC,DB 6393 Stockholm_SC
D&B 13916 Sundbyberg,,,D&B 13916 Sundbyberg,DB 13916 Sundbyberg_SC,DB 13916 Sundbyberg_SC
D&B 6564 Helsingborg,,,D&B 6564 Helsingborg,DB 6564 Helsingborg_SC,DB 6564 Helsingborg_SC
KONE Singapore DC 1&2,,,KONE Singapore DC 1&2,KONE Singapore DC 12_SC,KONE Singapore DC 12_SC
Ferries & Ports - Portsmouth,,,Ferries & Ports - Portsmouth,Ferries  Ports - Portsmouth_SC,Ferries  Ports - Portsmouth_SC
Jacobacci & Partners,,,Jacobacci & Partners,Jacobacci  Partners_SC,Jacobacci  Partners_SC
D&B 12750 Sundbyberg,,,D&B 12750 Sundbyberg,DB 12750 Sundbyberg_SC,DB 12750 Sundbyberg_SC
D&B Sema 6370,,,D&B Sema 6370,DB Sema 6370_SC,DB Sema 6370_SC
D&B 6678 Datarutin,,,D&B 6678 Datarutin,DB 6678 Datarutin_SC,DB 6678 Datarutin_SC
