ORANGE_SITENAME,ADDRESS_ID,CORE_SITE_ID,SITECODE,UPDATED_SITECODE,UPDATED_ORANGE_SITENAME
6392_FRA_Le Mas-d'Agenais_001,CI00016037,CI00015957,Le Mas-d'Agenais_031748,Le Mas-dAgenais_031748_SC,6392_FRA_Le Mas-d'Agenais_001
28776_BEL_Braine-l'Alleud_00001,MA16001440,MS16001378,Braine-l'Alleud_024646,Braine-lAlleud_024646_SC,28776_BEL_Braine-l'Alleud_00001
6392_FRA_Saint-Martin-d'Auxigny_001,CI00015042,CI00014965,Saint-Martin-d'Auxigny_030804,Saint-Martin-dAuxigny_030804_SC,6392_FRA_Saint-Martin-d'Auxigny_001
ISOS-Chad,CI00020326,CI00020235,N'Djamena_035725,NDjamena_035725_SC,ISOS-Chad
HEI-FR-CDA-01.,CI00014715,CI00014638,Cournon-d'Auvergne_030477,Cournon-dAuvergne_030477_SC,HEI-FR-CDA-01.
6392_FRA_Saint-Jean-d'Ardières_001,CI00020373,CI00020282,Saint-Jean-d'Ardières_035761,Saint-Jean-dArdières_035761_SC,6392_FRA_Saint-Jean-d'Ardières_001
XIA-2,CI00013888,CI00013814,Xi'an_029641,Xian_029641_SC,XIA-2
660295_MDV_Male'_001,CI00021498,CI00021407,Male'_036969,Male_036969_SC,660295_MDV_Male'_001
30075_MEX_Chandra's Test City_00001,MA09000740,MS09000698,Chandra's Test City_027395,Chandras Test City_027395_SC,30075_MEX_Chandra's Test City_00001
40178_FRA_L'Isle-d'Abeau_001,CI00006418,CI00006378,L'Isle-d'Abeau_022266,LIsle-dAbeau_022266_SC,40178_FRA_L'Isle-d'Abeau_001
40178_FRA_L'Isle-d'Abeau_002,CI00021524,CI00021433,L'Isle-d'Abeau_036989,LIsle-dAbeau_036989_SC,40178_FRA_L'Isle-d'Abeau_002
_DEDUP_39398_YEM_Sana'a_001_DEDUP_,CI00007558,CI00007505,Sana'a_023477,Sanaa_023477_SC,_DEDUP_39398_YEM_Sana'a_001_DEDUP_
10611_FRA_GONFREVILLE-L'ORCHER_001,MA09003175,MS09003091,Gonfreville-L'Orcher_024900,Gonfreville-LOrcher_024900_SC,10611_FRA_GONFREVILLE-L'ORCHER_001
682297_TCD_N'Djamena_001,CI00020601,CI00020510,N'Djamena_035973,NDjamena_035973_SC,682297_TCD_N'Djamena_001
9319_CHN_Xi'an_001,CI00006550,CI00006508,Xi'an_022408,Xian_022408_SC,9319_CHN_Xi'an_001
_DEDUP_IT-BLQ-RRP_DEDUP_,CI00017668,CI00017586,Anzola dell'Emilia_033291,Anzola dellEmilia_033291_SC,_DEDUP_IT-BLQ-RRP_DEDUP_
FR386bu - Carrefour Hyper CUSSET,CI00020979,CI00020888,Bourbon-l'Archambault_036355,Bourbon-lArchambault_036355_SC,FR386bu - Carrefour Hyper CUSSET
1908_CHN_Xi'an_001,CI00017873,CI00017791,Xi'an_033486,Xian_033486_SC,1908_CHN_Xi'an_001
677610_TCD_N'Djamena_001,CI00012182,CI00012111,N'Djamena_027965,NDjamena_027965_SC,677610_TCD_N'Djamena_001
4347_FRA_Collonges-au-Mont-d'Or_001,CI00003786,CI00003765,Collonges-au-Mont-d'Or_019786,Collonges-au-Mont-dOr_019786_SC,4347_FRA_Collonges-au-Mont-d'Or_001
Datacenter Veja,CI00023245,CI00023148,Villeneuve-d'Ascq_038572,Villeneuve-dAscq_038572_SC,Datacenter Veja
6392_FRA_L'Isle-d'Abeau_001,CI00020645,CI00020554,L'Isle-d'Abeau_036014,LIsle-dAbeau_036014_SC,6392_FRA_L'Isle-d'Abeau_001
_DEDUP_LRECA-8_DEDUP_,MA09002116,MS09002049,St. John's_021754,St. Johns_021754_SC,_DEDUP_LRECA-8_DEDUP_
45523_UKR_Boryspil'_001,CI00003856,CI00003834,Boryspil'_019856,Boryspil_019856_SC,45523_UKR_Boryspil'_001
671444_ITA_Anzola Dell'emilia_001,CI00020687,CI00020596,Anzola Dell'emilia_036047,Anzola Dellemilia_036047_SC,671444_ITA_Anzola Dell'emilia_001
76_MDV_Male'_001,CI00023375,CI00023278,Male'_038693,Male_038693_SC,76_MDV_Male'_001
Sita Aircom,CI00011022,CI00010952,Fua'amotu_026874,Fuaamotu_026874_SC,Sita Aircom
4713_ATG_Saint John's_001,CI00019598,CI00019512,Saint John's_035001,Saint Johns_035001_SC,4713_ATG_Saint John's_001
_DEDUP_2346_FRA_Saint-Ouen-l'Aumône_001,CI00006639,CI00006595,Saint-Ouen-l'Aumône_022526,Saint-Ouen-lAumône_022526_SC,_DEDUP_2346_FRA_Saint-Ouen-l'Aumône_001
FR-CAST38,CI00019819,CI00019731,Castelnau-d'Estrétefonds_035209,Castelnau-dEstrétefonds_035209_SC,FR-CAST38
1908_ITA_Cavenago D'adda_001,CI00019968,CI00019878,Cavenago D'adda_035357,Cavenago Dadda_035357_SC,1908_ITA_Cavenago D'adda_001
660189_ISR_Yokne'am Ilit_00001,MA17002246,MS17002161,Yokne'am Ilit_033212,Yokneam Ilit_033212_SC,660189_ISR_Yokne'am Ilit_00001
6392_FRA_Cosne-d'Allier_001,CI00004584,CI00004555,Cosne-d'Allier_020586,Cosne-dAllier_020586_SC,6392_FRA_Cosne-d'Allier_001
35504_TCD_N'Djamena_001,CI00017981,CI00017899,N'Djamena_033590,NDjamena_033590_SC,35504_TCD_N'Djamena_001
32509_ESP_L'Hospitalet de Llobregat_000,MA10005915,MS10005732,L'Hospitalet de Llobregat_038650,LHospitalet de Llobregat_038650_SC,32509_ESP_L'Hospitalet de Llobregat_000
77_MDV_Male'_001,CI00018787,CI00018705,Male'_034283,Male_034283_SC,77_MDV_Male'_001
681871_YEM_Sana'a_001,CI00023665,CI00023568,Sana'a_038963,Sanaa_038963_SC,681871_YEM_Sana'a_001
672870_ITA_Anzola dell'Emilia_00001,MA16005140,MS16005014,Anzola dell'Emilia_030016,Anzola dellEmilia_030016_SC,672870_ITA_Anzola dell'Emilia_00001
CHN099,CI00001096,CI00001093,Xi'an_017021,Xian_017021_SC,CHN099
9319_FRA_Saint-Barthélemy-d'Anjou_001,CI00012594,CI00012522,Saint-Barthélemy-d'Anjou_028345,Saint-Barthélemy-dAnjou_028345_SC,9319_FRA_Saint-Barthélemy-d'Anjou_001
128_YEM_Sana'a_001,CI00003217,CI00003203,Sana'a_019212,Sanaa_019212_SC,128_YEM_Sana'a_001
128_YEM_Sana'a_002,CI00003222,CI00003208,Sana'a_019213,Sanaa_019213_SC,128_YEM_Sana'a_002
6392_FRA_Saint-Chély-d'Apcher_001,CI00003232,CI00003218,Saint-Chély-d'Apcher_019219,Saint-Chély-dApcher_019219_SC,6392_FRA_Saint-Chély-d'Apcher_001
6392_FRA_L'Isle-Jourdain_001,CI00003239,CI00003225,L'Isle-Jourdain_019227,LIsle-Jourdain_019227_SC,6392_FRA_L'Isle-Jourdain_001
FR-SBAR02,CI00015089,CI00015012,Saint-Barthélemy-d'Anjou_030828,Saint-Barthélemy-dAnjou_030828_SC,FR-SBAR02
9319_ITA_Villanova d'Ardenghi_00001,MA09000289,MS09000281,Villanova d'Ardenghi_018088,Villanova dArdenghi_018088_SC,9319_ITA_Villanova d'Ardenghi_00001
HEI-FR-BOU-01,CI00016271,CI00016191,Le Bourg-d'Oisans_031997,Le Bourg-dOisans_031997_SC,HEI-FR-BOU-01
43027_MDV_Male' City_001,CI00007292,CI00007241,Male' City_023210,Male City_023210_SC,43027_MDV_Male' City_001
660468_Gradisca d' Isonzo_Via dell Indu,MA16003086,MS16002978,Gradisca d' Isonzo (GO_032481,Gradisca d Isonzo (GO_032481_SC,660468_Gradisca d' Isonzo_Via dell Indu
SITE 238,CI00017460,CI00017379,Xi'an_033099,Xian_033099_SC,SITE 238
23866_MLT_St Julian's_001,CI00022229,CI00022136,St Julian's_037622,St Julians_037622_SC,23866_MLT_St Julian's_001
_DEDUP_International Bank of Yemen_DEDU,CI00011230,CI00011160,Sana'a_027047,Sanaa_027047_SC,_DEDUP_International Bank of Yemen_DEDU
TRW977,CI00013559,CI00013485,Xi'an_029307,Xian_029307_SC,TRW977
Merck - St. Julien,CI00022576,CI00022482,St Julian's_037953,St Julians_037953_SC,Merck - St. Julien
681885_YEM_Sana'a_001,CI00013861,CI00013787,Sana'a_029618,Sanaa_029618_SC,681885_YEM_Sana'a_001
32016_FRA_Gonfreville-l'Orcher_001,CI00008584,CI00008526,Gonfreville-l'Orcher_024494,Gonfreville-lOrcher_024494_SC,32016_FRA_Gonfreville-l'Orcher_001
682739_FRA_Gonfreville-l'Orcher_001,CI00042656,CI00042410,Gonfreville-l'Orcher_057378,Gonfreville-lOrcher_057378_SC,682739_FRA_Gonfreville-l'Orcher_001
HWP-Xian (2),CI00028838,CI00028729,Xi'an_044479,Xian_044479_SC,HWP-Xian (2)
6392_FRA_Saint-Pierre-d'Irube_001,CI00024374,CI00024277,Saint-Pierre-d'Irube_039650,Saint-Pierre-dIrube_039650_SC,6392_FRA_Saint-Pierre-d'Irube_001
149_CAN_St John's_001,CI00024320,CI00024223,St John's_039616,St Johns_039616_SC,149_CAN_St John's_001
40178_FRA_Cosne-d'Allier_00001,MA10007677,MS10007376,Cosne-d'Allier_047727,Cosne-dAllier_047727_SC,40178_FRA_Cosne-d'Allier_00001
40178_FRA_Cazaux-d'Anglès_001,CI00031814,CI00031672,Cazaux-d'Anglès_047313,Cazaux-dAnglès_047313_SC,40178_FRA_Cazaux-d'Anglès_001
40178_FRA_L'Isle-Jourdain_001,CI00031816,CI00031674,L'Isle-Jourdain_047318,LIsle-Jourdain_047318_SC,40178_FRA_L'Isle-Jourdain_001
35654_NLD_'s-Hertogenbosch_00001,MA10001931,MS10001885,'s-Hertogenbosch_042188,s-Hertogenbosch_042188_SC,35654_NLD_'s-Hertogenbosch_00001
33157_TCD_N'Djamena_001,CI00032782,CI00032632,N'Djamena_048255,NDjamena_048255_SC,33157_TCD_N'Djamena_001
681524_CHN_Ma'anshan_002,CI00043356,CI00043104,Ma'anshan_058047,Maanshan_058047_SC,681524_CHN_Ma'anshan_002
42381_UKR_Trostyanets'_001,CI00027166,CI00027065,Trostyanets'_042816,Trostyanets_042816_SC,42381_UKR_Trostyanets'_001
35654_YEM_Sana'a_001,CI00026335,CI00026234,Sana'a_041758,Sanaa_041758_SC,35654_YEM_Sana'a_001
149_CAN_St John's_002,CI00025016,CI00024919,St John's_040304,St Johns_040304_SC,149_CAN_St John's_002
41278_ITA_Pomigliano d'Arco_00001,MA16001166,MS16001113,Pomigliano d'Arco_045408,Pomigliano dArco_045408_SC,41278_ITA_Pomigliano d'Arco_00001
218_BMU_St.George's_00001,MA17000992,MS17000954,St.George's_051735,St.Georges_051735_SC,218_BMU_St.George's_00001
FR-DRQ-01,CI00046280,CI00046011,Laudun-l'Ardoise_061205,Laudun-lArdoise_061205_SC,FR-DRQ-01
45523_TCD_N'Djamena_001,CI00040421,CI00040201,N'Djamena_055237,NDjamena_055237_SC,45523_TCD_N'Djamena_001
7294_CAN_St John's_003,CI00046331,CI00046062,Saint John's_061267,Saint Johns_061267_SC,7294_CAN_St John's_003
682058_BEL_Braine-L'Allude_001,CI00045495,CI00045231,Braine-L'Allude_060337,Braine-LAllude_060337_SC,682058_BEL_Braine-L'Allude_001
540_CHN_Xi'an_002,CI00031181,CI00031049,Xi'an_046751,Xian_046751_SC,540_CHN_Xi'an_002
682041_NLD_'s-Heer Arendskerke_001,CI00043429,CI00043177,'s-Heer Arendskerke_058117,s-Heer Arendskerke_058117_SC,682041_NLD_'s-Heer Arendskerke_001
NL-BSHT1,CI00028920,CI00028811,'s-Hertogenbosch_044541,s-Hertogenbosch_044541_SC,NL-BSHT1
7294_CAN_St John's_003,CI00045518,CI00045254,Saint John's_060360,Saint Johns_060360_SC,7294_CAN_St John's_003
7294_CAN_St John's_003,CI00045520,CI00045256,St John's_060361,St Johns_060361_SC,7294_CAN_St John's_003
677231_BRA_Diamante D'Oeste_001,CI00038758,CI00038552,Diamante D'Oeste_053718,Diamante DOeste_053718_SC,677231_BRA_Diamante D'Oeste_001
Fenwick-Linde / SAINT MARTIN D HERES (G,CI00024121,CI00024024,Saint-Martin-d'Hères_039414,Saint-Martin-dHères_039414_SC,Fenwick-Linde / SAINT MARTIN D HERES (G
32509_CHN_Xi'an_002,CI00033187,CI00033036,Xi'an_048604,Xian_048604_SC,32509_CHN_Xi'an_002
40978_MLT_St Julian's_001,CI00034830,CI00034663,St Julian's_050105,St Julians_050105_SC,40978_MLT_St Julian's_001
58116_TCD_N'Djamena_001,CI00032643,CI00032493,N'Djamena_048109,NDjamena_048109_SC,58116_TCD_N'Djamena_001
_DEDUP_FRCH5291 - BOURBON L ARCHAMBAULT,MAY5111983,MSY5110871,Bourbon-l'Archambault_056719,Bourbon-lArchambault_056719_SC,_DEDUP_FRCH5291 - BOURBON L ARCHAMBAULT
680731_CHN_Xi'an_002,CI00043290,CI00043039,Xi'an_057979,Xian_057979_SC,680731_CHN_Xi'an_002
9813_ITA_Aci Sant'antonio_001,CI00037732,CI00037528,Aci Sant'antonio_052757,Aci Santantonio_052757_SC,9813_ITA_Aci Sant'antonio_001
673129_FRA_Saint-Martin-d'Hères_00001,MA12002491,MS12002468,Saint-Martin-d'Hères_040452,Saint-Martin-dHères_040452_SC,673129_FRA_Saint-Martin-d'Hères_00001
109_TCD_N'Djamena_001,CI00041751,CI00041508,N'Djamena_056560,NDjamena_056560_SC,109_TCD_N'Djamena_001
670456_ESP_Muro d'Alcoi_001,CI00036288,CI00036099,Muro d'Alcoi_051434,Muro dAlcoi_051434_SC,670456_ESP_Muro d'Alcoi_001
680731_CHN_Xi'an_001,CI00025301,CI00025204,Xi'an_040592,Xian_040592_SC,680731_CHN_Xi'an_001
2281_CHN_Xi'an_001,CI00029925,CI00029806,Xi'an_045584,Xian_045584_SC,2281_CHN_Xi'an_001
540_CHN_Xi'an_001,CI00031173,CI00031041,Xi'an_046742,Xian_046742_SC,540_CHN_Xi'an_001
39294_PYF_Pape'ete_001,CI00034283,CI00034128,Pape'ete_049575,Papeete_049575_SC,39294_PYF_Pape'ete_001
_DEDUP_ZF-EU-UK-FARE3_MS12004699_DEDUP_,MA12004941,MS12004699,Bishop's Cleeve_057572,Bishops Cleeve_057572_SC,_DEDUP_ZF-EU-UK-FARE3_MS12004699_DEDUP_
5309_CHN_Xi'an_001,CI00025836,CI00025736,Xi'an_041228,Xian_041228_SC,5309_CHN_Xi'an_001
679964_BHR_Ma'ameer_001,CI00039491,CI00039279,Ma'ameer_054393,Maameer_054393_SC,679964_BHR_Ma'ameer_001
_DEDUP_681524_CHN_Ma'anshan_001_DEDUP_,CI00030038,CI00029919,Ma'anshan_045691,Maanshan_045691_SC,_DEDUP_681524_CHN_Ma'anshan_001_DEDUP_
7294_CAN_St John's_001,MA17003076,MS17002936,St John's_049816,St Johns_049816_SC,7294_CAN_St John's_001
ONLHERTO5771,CI00044604,CI00044342,'s-Hertogenbosch_059348,s-Hertogenbosch_059348_SC,ONLHERTO5771
IT-BOL-FAC,MA09000654,MS09000619,Anzola dell'Emilia_043887,Anzola dellEmilia_043887_SC,IT-BOL-FAC
FRCHF0254_LES AIX D ANGILLON,MA10003769,MS10003686,Les Aix-d'Angillon_050976,Les Aix-dAngillon_050976_SC,FRCHF0254_LES AIX D ANGILLON
L'OREAL UK GB6,,,L'OREAL UK GB6,LOREAL UK GB6_SC,LOREAL UK GB6_SC
36408_TTO_St Ann's_00001,MA18004786,MS18004639,St Ann's_055549,St Anns_055549_SC,36408_TTO_St Ann's_00001
1121_CAN_St John's_001,CI00040746,CI00040513,St John's_055560,St Johns_055560_SC,1121_CAN_St John's_001
30075_UKR_Dnipropetrovs'k_001,CI00042508,CI00042262,Dnipropetrovs'k_057254,Dnipropetrovsk_057254_SC,30075_UKR_Dnipropetrovs'k_001
30075_UKR_L'viv_001,CI00042513,CI00042267,L'viv_057259,Lviv_057259_SC,30075_UKR_L'viv_001
6392_FRA_Bourbon-l'Archambault_002,CI00031958,CI00031813,Bourbon-l'Archambault_047472,Bourbon-lArchambault_047472_SC,6392_FRA_Bourbon-l'Archambault_002
35590_FRA_Villeneuve-d'Ascq_00001,MA18001169,MS18001135,Villeneuve-d'Ascq_046271,Villeneuve-dAscq_046271_SC,35590_FRA_Villeneuve-d'Ascq_00001
6392_FRA_Villeneuve-l'Archevêque_001,CI00024425,CI00024328,Villeneuve-l'Archevêque_039699,Villeneuve-lArchevêque_039699_SC,6392_FRA_Villeneuve-l'Archevêque_001
FRCHF0541 - AIRE SUR ADOUR,CI00037991,CI00037787,Aire-sur-l'Adour_052996,Aire-sur-lAdour_052996_SC,FRCHF0541 - AIRE SUR ADOUR
10492_ITA_Granarolo dell'Emilia_00001,MA16002254,MS16002161,Granarolo dell'Emilia_042595,Granarolo dellEmilia_042595_SC,10492_ITA_Granarolo dell'Emilia_00001
679394_FRA_Parigne-l'Eveque_MIG886,CI00025889,CI00025788,Parigné-l'Évêque_041283,Parigné-lÉvêque_041283_SC,679394_FRA_Parigne-l'Eveque_MIG886
660185_ITA_Cassina de' Pecchi_00001,MA18001692,MS18001641,Cassina de' Pecchi_047140,Cassina de Pecchi_047140_SC,660185_ITA_Cassina de' Pecchi_00001
FR202 - L'Hay-les-Roses,CI00028746,CI00028637,L'Haý-les-Roses_044406,LHaý-les-Roses_044406_SC,FR202 - L'Hay-les-Roses
35227_ISR_Ra'anana_001,CI00039501,CI00039288,Ra'anana_054408,Raanana_054408_SC,35227_ISR_Ra'anana_001
9813_FRA_Villeneuve d'Ascq_001,CI00042084,CI00041839,Villeneuve d'Ascq_056872,Villeneuve dAscq_056872_SC,9813_FRA_Villeneuve d'Ascq_001
10748_TCD_N'Djamena_001,CI00042094,CI00041849,N'Djamena_056884,NDjamena_056884_SC,10748_TCD_N'Djamena_001
251_TCD_N'Djamena_001,CI00032779,CI00032629,N'Djamena_048252,NDjamena_048252_SC,251_TCD_N'Djamena_001
FR-L-070b - BELLEVILLE (St Jean Ardiere,CI00037793,CI00037589,Saint-Jean-d'Ardières_052806,Saint-Jean-dArdières_052806_SC,FR-L-070b - BELLEVILLE (St Jean Ardiere
32509_CHN_Xi'an_001,CI00032856,CI00032706,Xi'an_048326,Xian_048326_SC,32509_CHN_Xi'an_001
ESPACIO - LAUDUN,CI00028452,CI00028344,Laudun-l'Ardoise_044072,Laudun-lArdoise_044072_SC,ESPACIO - LAUDUN
40674_FRA_Villeneuve-d'Ascq_001,CI00040526,CI00040303,Villeneuve-d'Ascq_055347,Villeneuve-dAscq_055347_SC,40674_FRA_Villeneuve-d'Ascq_001
673508_NLD_'s-Hertogenbosch_00001,MA18002227,MS18002143,'s-Hertogenbosch_054960,s-Hertogenbosch_054960_SC,673508_NLD_'s-Hertogenbosch_00001
ONLHERTO5592,CI00030883,CI00030753,'s-Hertogenbosch_046459,s-Hertogenbosch_046459_SC,ONLHERTO5592
23012_ITA_IT34_Trezzo sull'Adda,CI00040662,CI00040430,Trezzo sull'Adda_055474,Trezzo sullAdda_055474_SC,23012_ITA_IT34_Trezzo sull'Adda
23012_ITA_IT37_Rivolta d'Adda,CI00040667,CI00040435,Rivolta d' Adda_055478,Rivolta d Adda_055478_SC,23012_ITA_IT37_Rivolta d'Adda
L'OREAL ROMANIA-IS,,,L'OREAL ROMANIA-IS,LOREAL ROMANIA-IS_SC,LOREAL ROMANIA-IS_SC
681490_FRA_Villeneuve-d'Ascq_001,CI00026717,CI00026616,Villeneuve-d'Ascq_042274,Villeneuve-dAscq_042274_SC,681490_FRA_Villeneuve-d'Ascq_001
uUSA990SVC,CI00031105,CI00030974,O'Fallon_046675,OFallon_046675_SC,uUSA990SVC
16250_FRA_Athis-de-l'Orne_001,MA16000113,MS16000107,Athis-de-l'Orne_053954,Athis-de-lOrne_053954_SC,16250_FRA_Athis-de-l'Orne_001
387_YEM_Sana'a_001,CI00045593,CI00045329,Sana'a_060463,Sanaa_060463_SC,387_YEM_Sana'a_001
9319_ITA_Brignano Gera d'Adda_001,CI00037138,CI00036938,Brignano Gera d'Adda_052238,Brignano Gera dAdda_052238_SC,9319_ITA_Brignano Gera d'Adda_001
88_BGD_Cox's Bazar_001,CI00045359,CI00045095,Cox's Bazar_060185,Coxs Bazar_060185_SC,88_BGD_Cox's Bazar_001
2320700000ao,CI00030078,CI00029959,Port d'Andratx_045723,Port dAndratx_045723_SC,2320700000ao
FRCHF0558 - VILLENEUVE D ASCQ,CI00040775,CI00040542,Villeneuve-d'Ascq_055592,Villeneuve-dAscq_055592_SC,FRCHF0558 - VILLENEUVE D ASCQ
6392_FRA_Saint-Jean-d'Aulps_001,CI00024237,CI00024140,Saint-Jean-d'Aulps_039523,Saint-Jean-dAulps_039523_SC,6392_FRA_Saint-Jean-d'Aulps_001
9319_UKR_Boryspil'_001,CI00041072,CI00040834,Boryspil'_055876,Boryspil_055876_SC,9319_UKR_Boryspil'_001
628_ITA_Pomigliano d'Arco_00001,MA09003796,MS09003688,Pomigliano d'Arco_050283,Pomigliano dArco_050283_SC,628_ITA_Pomigliano d'Arco_00001
"40178_FRA_Boisemont, Val-d'Oise_001",CI00026777,CI00026676,"Boisemont, Val-d'Oise_042340","Boisemont, Val-dOise_042340_SC","40178_FRA_Boisemont, Val-d'Oise_001"
_DEDUP_9319_ITA_Trezzo sull'Adda_001_DE,CI00043697,CI00043442,Trezzo sull'Adda_058395,Trezzo sullAdda_058395_SC,_DEDUP_9319_ITA_Trezzo sull'Adda_001_DE
676_TCD_N'Djamena_00001,MA10015494,MS10014905,N'Djamena_039882,NDjamena_039882_SC,676_TCD_N'Djamena_00001
33209_FRA_Marcy-l'Étoile_001,CI00045745,CI00045480,Marcy-l'Étoile_060619,Marcy-lÉtoile_060619_SC,33209_FRA_Marcy-l'Étoile_001
681400_CHN_Xi'an_001,CI00024723,CI00024626,Xi'an_039978,Xian_039978_SC,681400_CHN_Xi'an_001
Ministry of Foreign Affairs Malta - Aus,CI00041542,CI00041299,O'Malley_056376,OMalley_056376_SC,Ministry of Foreign Affairs Malta - Aus
680183_UKR_Vasyl'kiv_001,CI00036083,CI00035902,Vasyl'kiv_051244,Vasylkiv_051244_SC,680183_UKR_Vasyl'kiv_001
40178_FRA_Saint-André-de-l'Eure_001,CI00041410,CI00041168,Saint-André-de-l'Eure_056248,Saint-André-de-lEure_056248_SC,40178_FRA_Saint-André-de-l'Eure_001
9656_TCD_N'Djamena_001,CI00045900,CI00045634,N'Djamena_060778,NDjamena_060778_SC,9656_TCD_N'Djamena_001
676_BMU_St.George's_00001,MA10015248,MS10014666,St.George's_050709,St.Georges_050709_SC,676_BMU_St.George's_00001
682041_FRA_Villeneuve-d'Ascq_001,CI00042548,CI00042302,Villeneuve-d'Ascq_057291,Villeneuve-dAscq_057291_SC,682041_FRA_Villeneuve-d'Ascq_001
OCNXI_AN5697,CI00036930,CI00036730,XI' AN_052028,XI AN_052028_SC,OCNXI_AN5697
_DEDUP_EUKR015_DEDUP_,CI00036311,CI00036122,Kyivs'ka oblast_051453,Kyivska oblast_051453_SC,_DEDUP_EUKR015_DEDUP_
6392_FRA_Champagne-au-Mont-d'Or_001,CI00036351,CI00036161,Champagne-au-Mont-d'Or_051486,Champagne-au-Mont-dOr_051486_SC,6392_FRA_Champagne-au-Mont-d'Or_001
7294_CAN_St John's_003,CI00045519,CI00045255,St John's_060362,St Johns_060362_SC,7294_CAN_St John's_003
MRI_ICRC,CI00046347,CI00046078,Mariupol'_061277,Mariupol_061277_SC,MRI_ICRC
40978_FRA_Champagne-au-Mont-d'Or_00001_,MAY2131650,MSY4146670,Champagne-au-Mont-d'Or_072897,Champagne-au-Mont-dOr_072897_SC,40978_FRA_Champagne-au-Mont-d'Or_00001_
681871_YEM_Sana'a_002,CI00051890,CI00051562,Sana'a_067241,Sanaa_067241_SC,681871_YEM_Sana'a_002
9319_ITA_Brignano Gera D'Adda_00001,MA09000170,MS09000163,Brignano Gera D'Adda_066477,Brignano Gera DAdda_066477_SC,9319_ITA_Brignano Gera D'Adda_00001
2281_CHN_Xi'an_002,CI00050093,CI00049782,Xi'an_065391,Xian_065391_SC,2281_CHN_Xi'an_002
42767_FRA_Bois-d'Arcy_00001_MIG_001,MAY5141902,MSY5140790,Bois-d'Arcy_073110,Bois-dArcy_073110_SC,42767_FRA_Bois-d'Arcy_00001_MIG_001
6392_FRA_Les Aix-d'Angillon_00001_MIG_0,MAY7115643,MSY7115643,Les Aix-d'Angillon_074398,Les Aix-dAngillon_074398_SC,6392_FRA_Les Aix-d'Angillon_00001_MIG_0
2812_ITA_Castello D'argile_00001_MIG_001,MAY8180935,MSY8179823,Castello D'argile_075790,Castello Dargile_075790_SC,2812_ITA_Castello D'argile_00001_MIG_001
45523_PYF_Pape'ete_00002_MIG_001,MAY8184958,MSY8183846,Pape'ete_075801,Papeete_075801_SC,45523_PYF_Pape'ete_00002_MIG_001
_ORPHAN_28358_RUS_Rus'_00001_MIG_001_OR,MAY7113009,MSY7113009,Rus'_074726,Rus_074726_SC,_ORPHAN_28358_RUS_Rus'_00001_MIG_001_OR
45523_PYF_Pape'ete_00001_MIG_001,MAY8184957,MSY8183845,Pape'ete_075802,Papeete_075802_SC,45523_PYF_Pape'ete_00001_MIG_001
674265_USA_O'Fallon_00001,MAY5133726,MSY5132614,O'Fallon_080415,OFallon_080415_SC,674265_USA_O'Fallon_00001
158_YEM_Sana'a_00001_MIG_001,MAY7103085,MSY7103085,Sana'a_076554,Sanaa_076554_SC,158_YEM_Sana'a_00001_MIG_001
674826_ITA_Scorze'_001,CI00047307,CI00047025,Scorze'_062339,Scorze_062339_SC,674826_ITA_Scorze'_001
91_YEM_Sana'a_00002_MIG_001,MAY4164145,MSY4179165,Sana'a_077783,Sanaa_077783_SC,91_YEM_Sana'a_00002_MIG_001
22_ESP_L'Altet_001,CI00048178,CI00047877,L'Altet_063348,LAltet_063348_SC,22_ESP_L'Altet_001
45523_YEM_Sana'a_001,CI00048722,CI00048419,Sana'a_063926,Sanaa_063926_SC,45523_YEM_Sana'a_001
628_ITA_Pomigliano d'Arco_00001_MIG,MAY5143603,MSY5142491,Pomigliano D'Arco (NA)_066338,Pomigliano DArco (NA)_066338_SC,628_ITA_Pomigliano d'Arco_00001_MIG
32509_ESP_L'Hospitalet de Llobregat_000,MAY7113143,MSY7113143,L'Hospitalet de Llobregat_074972,LHospitalet de Llobregat_074972_SC,32509_ESP_L'Hospitalet de Llobregat_000
676632_FRA_CHAMPAGNE MONT D'OR_001,CI00049432,CI00049126,CHAMPAGNE MONT D'OR_064705,CHAMPAGNE MONT DOR_064705_SC,676632_FRA_CHAMPAGNE MONT D'OR_001
_DEDUP_680234_ETH_Mek'ele_00001_MIG_001,MAY7118916,MSY7118916,Mek'ele_075581,Mekele_075581_SC,_DEDUP_680234_ETH_Mek'ele_00001_MIG_001
33288_ITA_Pomigliano d'Arco_00001,MA21000150,MS21000143,Pomigliano d'Arco_066862,Pomigliano dArco_066862_SC,33288_ITA_Pomigliano d'Arco_00001
_ORPHAN_39398_USA_OFallon_00003_ORPHAN_,MAY4118498,MSY4123310,O'Fallon_082484,OFallon_082484_SC,_ORPHAN_39398_USA_OFallon_00003_ORPHAN_
40178_FRA_Saint-Martin-d'Auxigny_001,CI00048973,CI00048669,Saint-Martin-d'Auxigny_064237,Saint-Martin-dAuxigny_064237_SC,40178_FRA_Saint-Martin-d'Auxigny_001
54_UKR_Boryspil'_001,CI00047274,CI00046993,Boryspil'_062298,Boryspil_062298_SC,54_UKR_Boryspil'_001
_DEDUP_39398_USA_OFallon_00001_DEDUP_,MAY4118496,MSY4123308,O'Fallon_084187,OFallon_084187_SC,_DEDUP_39398_USA_OFallon_00001_DEDUP_
