ADDRESS_ID,CORE_ICO,CORE_STATUS
CI00005710,40674,1
CI00005799,680714,1
CI00005808,679796,1
CI00005851,35015,1
CI00005952,680264,1
CI00005954,680264,1
CI00006047,6392,1
CI00006077,41645,1
CI00006088,6392,1
CI00006100,680778,1
CI00006243,23542,1
CI00006251,23542,1
CI00006256,23542,1
CI00006338,40674,1
CI00006360,10246,1
CI00006394,23664,1
CI00006421,35491,1
CI00006435,683512,0
CI00006440,675432,1
CI00006503,672739,1
CI00006522,672739,1
CI00006604,6392,1
CI00006639,683512,0
CI00006689,676979,1
CI00006710,23542,1
CI00006713,23542,1
CI00006722,23542,1
CI00006764,30623,1
CI00006779,683512,0
CI00006782,1908,1
CI00006836,33169,1
CI00006884,43233,1
CI00006983,680714,1
CI00007175,671444,1
CI00007459,681079,1
CI00007463,23542,1
CI00007519,672739,1
CI00007523,680264,1
CI00007617,681400,1
CI00007619,31877,1
CI00007632,683512,1
CI00007787,6392,1
CI00007800,918,1
CI00007808,683512,0
CI00007901,36572,1
CI00008043,11406,1
CI00008139,6392,1
CI00008161,1908,1
CI00008302,35015,1
CI00008591,672739,1
CI00008672,680751,1
CI00008776,35015,1
CI00008792,677344,1
CI00008853,677344,1
CI00008867,677344,1
CI00008873,683512,0
CI00008877,677344,1
CI00008887,683512,0
CI00008897,683512,0
CI00008907,673542,1
CI00008925,35504,1
CI00008956,673603,1
CI00009076,680714,1
CI00009097,35015,1
CI00009109,39398,1
CI00009113,672739,1
CI00009319,35015,1
CI00009322,43233,1
CI00009339,35015,1
CI00009342,683512,0
CI00009362,678931,1
CI00009428,680918,1
CI00009448,35015,1
CI00009547,680720,1
CI00009555,4616,1
CI00009638,1908,1
CI00009648,10611,1
CI00009903,680874,1
CI00009913,23542,1
CI00010007,34912,1
CI00010102,9594,1
CI00010122,679231,1
CI00010261,676959,1
CI00010269,676959,1
CI00010331,35015,1
CI00010461,36572,1
CI00010544,6131,1
CI00010562,672286,1
CI00010613,33169,1
CI00010628,683512,0
CI00010674,35015,1
CI00010684,6131,1
CI00010741,39145,1
CI00010805,683512,0
CI00010915,35015,1
CI00011042,6392,1
CI00011130,683512,0
CI00011131,683512,0
CI00011194,6,1
CI00011207,6392,1
CI00011231,6392,1
CI00011271,673542,1
CI00011297,42693,1
CI00011346,26597,1
CI00011359,678971,1
CI00011384,683512,0
CI00011386,33897,1
CI00011422,675432,1
CI00011426,675432,1
CI00011472,675432,1
CI00011473,675432,1
CI00011487,6392,1
CI00011501,675432,1
CI00011564,1908,1
CI00011677,675432,1
CI00011683,675432,1
CI00011720,675432,1
CI00011727,675432,1
CI00011728,675432,1
CI00011731,675432,1
CI00011746,6392,1
CI00011822,6253,1
CI00011827,6253,1
CI00011878,36858,1
CI00011884,39398,1
CI00011936,6392,1
CI00012070,43233,1
CI00012077,679662,1
CI00012210,30623,1
CI00012293,6392,1
CI00012410,1908,1
CI00012477,683512,0
CI00012494,683512,0
CI00012559,36572,1
CI00012568,39398,1
CI00012648,35015,1
CI00012718,679103,1
CI00012910,148,1
CI00012928,9922,1
CI00012990,661445,1
CI00013003,36421,1
CI00013170,2273,1
CI00013185,683512,0
CI00013239,35015,1
CI00013269,35015,1
CI00013359,671444,1
CI00013502,43233,1
CI00013542,43233,1
CI00013546,43233,1
CI00013703,676908,1
